"ORF","Reactome.term"
"YBR254C","COPII-mediated vesicle transport"
"YBR254C","Metabolism of proteins"
"YBR254C","Asparagine N-linked glycosylation"
"YBR254C","Vesicle-mediated transport"
"YBR254C","Post-translational protein modification"
"YBR254C","RAB GEFs exchange GTP for GDP on RABs"
"YBR254C","Rab regulation of trafficking"
"YBR254C","Transport to the Golgi and subsequent modification"
"YBR260C","Signal Transduction"
"YBR260C","Innate Immune System"
"YBR260C","Immune System"
"YBR260C","Signaling by Rho GTPases"
"YBR260C","Rho GTPase cycle"
"YBR260C","Neutrophil degranulation"
"YBR263W","Metabolism"
"YBR263W","Metabolism of folate and pterines"
"YBR263W","Metabolism of water-soluble vitamins and cofactors"
"YBR263W","Metabolism of vitamins and cofactors"
"YBR263W","Carnitine synthesis"
"YBR263W","Metabolism of amino acids and derivatives"
"YBR264C","Metabolism of proteins"
"YBR264C","Post-translational protein modification"
"YBR264C","RAB geranylgeranylation"
"YBR265W","Metabolism"
"YBR265W","Sphingolipid de novo biosynthesis"
"YBR265W","Sphingolipid metabolism"
"YBR265W","Metabolism of lipids"
"YBR270C","PIP3 activates AKT signaling"
"YBR270C","Adaptive Immune System"
"YBR270C","Signal Transduction"
"YBR270C","Immune System"
"YBR270C","Signaling by VEGF"
"YBR270C","Generic Transcription Pathway"
"YBR270C","Transcriptional Regulation by TP53"
"YBR270C","Costimulation by the CD28 family"
"YBR270C","CD28 co-stimulation"
"YBR270C","CD28 dependent PI3K/Akt signaling"
"YBR270C","VEGFA-VEGFR2 Pathway"
"YBR270C","VEGFR2 mediated vascular permeability"
"YBR270C","Regulation of TP53 Activity"
"YBR270C","Regulation of TP53 Degradation"
"YBR270C","Regulation of TP53 Expression and Degradation"
"YBR270C","RNA Polymerase II Transcription"
"YBR270C","Gene expression (Transcription)"
"YBR270C","Intracellular signaling by second messengers"
"YBR270C","Signaling by Receptor Tyrosine Kinases"
"YBR279W","RNA Polymerase II Pre-transcription Events"
"YBR279W","RNA Polymerase II Transcription"
"YBR279W","Gene expression (Transcription)"
"YBR279W","RNA Polymerase II Transcription Elongation"
"YBR284W","Metabolism"
"YBR284W","Metabolism of nucleotides"
"YBR284W","Innate Immune System"
"YBR284W","Immune System"
"YBR284W","Neutrophil degranulation"
"YBR284W","Purine salvage"
"YBR284W","Nucleotide salvage"
"YBR291C","Metabolism"
"YBR291C","Metabolism of lipids"
"YBR291C","Gluconeogenesis"
"YBR291C","Glucose metabolism"
"YBR291C","Metabolism of carbohydrates"
"YBR291C","Fatty acyl-CoA biosynthesis"
"YBR291C","Fatty acid metabolism"
"YBR294W","Transport of small molecules"
"YBR294W","Transport of inorganic cations/anions and amino acids/oligopeptides"
"YBR294W","SLC-mediated transmembrane transport"
"YBR294W","Multifunctional anion exchangers"
"YBR296C","Transport of small molecules"
"YBR296C","Transport of inorganic cations/anions and amino acids/oligopeptides"
"YBR296C","SLC-mediated transmembrane transport"
"YBR296C","Sodium-coupled phosphate cotransporters"
"YCL005W-A","ROS and RNS production in phagocytes"
"YCL005W-A","Signal Transduction"
"YCL005W-A","Innate Immune System"
"YCL005W-A","Immune System"
"YCL005W-A","Cellular responses to stress"
"YCL005W-A","Transport of small molecules"
"YCL005W-A","Signaling by Insulin receptor"
"YCL005W-A","Insulin receptor recycling"
"YCL005W-A","Cellular responses to external stimuli"
"YCL005W-A","Signaling by Receptor Tyrosine Kinases"
"YCL005W-A","Iron uptake and transport"
"YCL005W-A","Transferrin endocytosis and recycling"
"YCL005W-A","Amino acids regulate mTORC1"
"YCL017C","Mitochondrial iron-sulfur cluster biogenesis"
"YCL017C","Metabolism"
"YCL017C","Metabolism of water-soluble vitamins and cofactors"
"YCL017C","Metabolism of vitamins and cofactors"
"YCL017C","Molybdenum cofactor biosynthesis"
"YCL029C","Signal Transduction"
"YCL029C","Signaling by Rho GTPases"
"YCL029C","RHO GTPase Effectors"
"YCL029C","RHO GTPases activate IQGAPs"
"YCL031C","Major pathway of rRNA processing in the nucleolus and cytosol"
"YCL031C","rRNA processing"
"YCL031C","rRNA processing in the nucleus and cytosol"
"YCL031C","Metabolism of RNA"
"YCL038C","Amino acid transport across the plasma membrane"
"YCL038C","Transport of small molecules"
"YCL038C","Transport of inorganic cations/anions and amino acids/oligopeptides"
"YCL038C","Transport of vitamins, nucleosides, and related molecules"
"YCL038C","SLC-mediated transmembrane transport"
"YCL038C","Transport of organic anions"
"YCL040W","Metabolism"
"YCL040W","Regulation of Glucokinase by Glucokinase Regulatory Protein"
"YCL040W","Glycolysis"
"YCL040W","Glucose metabolism"
"YCL040W","Metabolism of carbohydrates"
"YCL043C","Metabolism of proteins"
"YCL043C","Asparagine N-linked glycosylation"
"YCL043C","N-glycan trimming in the ER and Calnexin/Calreticulin cycle"
"YCL043C","Post-translational protein modification"
"YCL043C","Calnexin/calreticulin cycle"
"YCL057W","Adaptive Immune System"
"YCL057W","Immune System"
"YCL057W","Antigen processing: Ubiquitination & Proteasome degradation"
"YCL057W","Class I MHC mediated antigen processing & presentation"
"YCL059C","Major pathway of rRNA processing in the nucleolus and cytosol"
"YCL059C","rRNA processing"
"YCL059C","rRNA processing in the nucleus and cytosol"
"YCL059C","Metabolism of RNA"
"YCL064C","Metabolism"
"YCL064C","Metabolism of amino acids and derivatives"
"YCL064C","Threonine catabolism"
"YCR008W","Cell Cycle"
"YCR008W","Activation of ATR in response to replication stress"
"YCR008W","HDR through Homologous Recombination (HRR)"
"YCR008W","DNA Double-Strand Break Repair"
"YCR008W","Homology Directed Repair"
"YCR008W","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)"
"YCR008W","Homologous DNA Pairing and Strand Exchange"
"YCR008W","Presynaptic phase of homologous DNA pairing and strand exchange"
"YCR008W","G2/M Checkpoints"
"YCR008W","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"
"YCR008W","p53-Independent DNA Damage Response"
"YCR008W","p53-Independent G1/S DNA damage checkpoint"
"YCR008W","G1/S DNA Damage Checkpoints"
"YCR008W","Cell Cycle Checkpoints"
"YCR008W","DNA Repair"
"YCR011C","ABC transporters in lipid homeostasis"
"YCR011C","Plasma lipoprotein assembly, remodeling, and clearance"
"YCR011C","Transport of small molecules"
"YCR011C","ABC-family proteins mediated transport"
"YCR011C","Plasma lipoprotein remodeling"
"YCR011C","HDL remodeling"
"YCR011C","Iron uptake and transport"
"YCR012W","Metabolism"
"YCR012W","Glycolysis"
"YCR012W","Gluconeogenesis"
"YCR012W","Glucose metabolism"
"YCR012W","Metabolism of carbohydrates"
"YCR026C","Metabolism"
"YCR026C","PI Metabolism"
"YCR026C","Phospholipid metabolism"
"YCR026C","Glycosphingolipid metabolism"
"YCR026C","Innate Immune System"
"YCR026C","Immune System"
"YCR026C","Vitamin B2 (riboflavin) metabolism"
"YCR026C","Metabolism of water-soluble vitamins and cofactors"
"YCR026C","Metabolism of vitamins and cofactors"
"YCR026C","Sphingolipid metabolism"
"YCR026C","Metabolism of lipids"
"YCR026C","Neutrophil degranulation"
"YCR026C","Glycerophospholipid catabolism"
"YCR027C","Signal Transduction"
"YCR027C","mTOR signalling"
"YCR027C","Cellular responses to stress"
"YCR027C","Cellular responses to external stimuli"
"YCR027C","Amino acids regulate mTORC1"
"YCR030C","Membrane Trafficking"
"YCR030C","Vesicle-mediated transport"
"YCR030C","Clathrin-mediated endocytosis"
"YCR031C","L13a-mediated translational silencing of Ceruloplasmin expression"
"YCR031C","SRP-dependent cotranslational protein targeting to membrane"
"YCR031C","Metabolism of proteins"
"YCR031C","Major pathway of rRNA processing in the nucleolus and cytosol"
"YCR031C","rRNA processing"
"YCR031C","Eukaryotic Translation Initiation"
"YCR031C","Formation of a pool of free 40S subunits"
"YCR031C","Formation of the ternary complex, and subsequently, the 43S complex"
"YCR031C","Ribosomal scanning and start codon recognition"
"YCR031C","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YCR031C","Cap-dependent Translation Initiation"
"YCR031C","Translation"
"YCR031C","rRNA processing in the nucleus and cytosol"
"YCR031C","Metabolism of RNA"
"YCR031C","Nonsense-Mediated Decay (NMD)"
"YCR031C","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"YCR031C","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YCR035C","Deadenylation-dependent mRNA decay"
"YCR035C","mRNA decay by 3' to 5' exoribonuclease"
"YCR035C","Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA"
"YCR035C","Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA"
"YCR035C","Regulation of mRNA stability by proteins that bind AU-rich elements"
"YCR035C","Major pathway of rRNA processing in the nucleolus and cytosol"
"YCR035C","rRNA processing"
"YCR035C","rRNA processing in the nucleus and cytosol"
"YCR035C","Metabolism of RNA"
"YCR036W","Metabolism"
"YCR036W","Pentose phosphate pathway"
"YCR036W","Metabolism of carbohydrates"
"YCR042C","RNA Polymerase II Pre-transcription Events"
"YCR042C","RNA Polymerase II Promoter Escape"
"YCR042C","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"
"YCR042C","RNA Polymerase II Transcription"
"YCR042C","Gene expression (Transcription)"
"YCR042C","RNA Polymerase II Transcription Initiation"
"YCR042C","RNA Polymerase II Transcription Initiation And Promoter Clearance"
"YCR057C","Major pathway of rRNA processing in the nucleolus and cytosol"
"YCR057C","rRNA processing"
"YCR057C","rRNA processing in the nucleus and cytosol"
"YCR057C","Metabolism of RNA"
"YCR065W","Signal Transduction"
"YCR065W","SUMOylation"
"YCR065W","SUMO E3 ligases SUMOylate target proteins"
"YCR065W","SUMOylation of transcription factors"
"YCR065W","Metabolism of proteins"
"YCR065W","Post-translational protein modification"
"YCR065W","ESR-mediated signaling"
"YCR065W","Signaling by Nuclear Receptors"
"YCR065W","Estrogen-dependent gene expression"
"YCR073C","Adaptive Immune System"
"YCR073C","Immune System"
"YCR073C","Costimulation by the CD28 family"
"YCR073C","CD28 co-stimulation"
"YCR073C","CD28 dependent PI3K/Akt signaling"
"YCR075C","Transport of small molecules"
"YCR075C","Transport of inorganic cations/anions and amino acids/oligopeptides"
"YCR075C","SLC-mediated transmembrane transport"
"YCR075C","Miscellaneous transport and binding events"
"YCR077C","Deadenylation-dependent mRNA decay"
"YCR077C","mRNA decay by 5' to 3' exoribonuclease"
"YCR077C","Metabolism of RNA"
"YCR088W","Innate Immune System"
"YCR088W","Immune System"
"YCR088W","Membrane Trafficking"
"YCR088W","Vesicle-mediated transport"
"YCR088W","Neutrophil degranulation"
"YCR088W","Clathrin-mediated endocytosis"
"YCR092C","Mismatch Repair"
"YCR092C","Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)"
"YCR092C","DNA Repair"
"YCR094W","Innate Immune System"
"YCR094W","Immune System"
"YCR094W","Neutrophil degranulation"
"YCR100C","Membrane Trafficking"
"YCR100C","trans-Golgi Network Vesicle Budding"
"YCR100C","Golgi Associated Vesicle Biogenesis"
"YCR100C","Vesicle-mediated transport"
"YDL002C","Apoptosis"
"YDL002C","Apoptosis induced DNA fragmentation"
"YDL002C","Innate Immune System"
"YDL002C","Immune System"
"YDL002C","Toll-like Receptor Cascades"
"YDL002C","Programmed Cell Death"
"YDL002C","Regulation of TLR by endogenous ligand"
"YDL002C","Neutrophil degranulation"
"YDL002C","Apoptotic execution phase"
"YDL003W","Cell Cycle"
"YDL003W","Establishment of Sister Chromatid Cohesion"
"YDL003W","Resolution of Sister Chromatid Cohesion"
"YDL003W","SUMOylation"
"YDL003W","SUMOylation of DNA damage response and repair proteins"
"YDL003W","SUMO E3 ligases SUMOylate target proteins"
"YDL003W","Metabolism of proteins"
"YDL003W","Post-translational protein modification"
"YDL003W","Mitotic Prometaphase"
"YDL003W","M Phase"
"YDL003W","S Phase"
"YDL003W","Cell Cycle, Mitotic"
"YDL007W","Antigen processing-Cross presentation"
"YDL007W","Cross-presentation of soluble exogenous antigens (endosomes)"
"YDL007W","Cytokine Signaling in Immune system"
"YDL007W","Adaptive Immune System"
"YDL007W","Immune System"
"YDL007W","Metabolism of proteins"
"YDL007W","TNFR2 non-canonical NF-kB pathway"
"YDL007W","Deubiquitination"
"YDL007W","UCH proteinases"
"YDL007W","Ub-specific processing proteases"
"YDL007W","Post-translational protein modification"
"YDL007W","Class I MHC mediated antigen processing & presentation"
"YDL008W","Adaptive Immune System"
"YDL008W","Cell Cycle"
"YDL008W","Immune System"
"YDL008W","APC/C-mediated degradation of cell cycle proteins"
"YDL008W","APC/C:Cdc20 mediated degradation of mitotic proteins"
"YDL008W","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"
"YDL008W","APC-Cdc20 mediated degradation of Nek2A"
"YDL008W","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"
"YDL008W","Regulation of mitotic cell cycle"
"YDL008W","Cell Cycle, Mitotic"
"YDL008W","Antigen processing: Ubiquitination & Proteasome degradation"
"YDL008W","Class I MHC mediated antigen processing & presentation"
"YDL014W","Major pathway of rRNA processing in the nucleolus and cytosol"
"YDL014W","rRNA processing"
"YDL014W","rRNA processing in the nucleus and cytosol"
"YDL014W","Metabolism of RNA"
"YDL015C","Metabolism"
"YDL015C","Metabolism of lipids"
"YDL015C","Fatty acyl-CoA biosynthesis"
"YDL015C","Synthesis of very long-chain fatty acyl-CoAs"
"YDL015C","Fatty acid metabolism"
"YDL017W","Cell Cycle"
"YDL017W","Mitotic G1-G1/S phases"
"YDL017W","Activation of the pre-replicative complex"
"YDL017W","DNA Replication Pre-Initiation"
"YDL017W","G1/S Transition"
"YDL017W","Cell Cycle, Mitotic"
"YDL017W","DNA Replication"
"YDL018C","Membrane Trafficking"
"YDL018C","Vesicle-mediated transport"
"YDL018C","COPI-dependent Golgi-to-ER retrograde traffic"
"YDL018C","Intra-Golgi and retrograde Golgi-to-ER traffic"
"YDL018C","Golgi-to-ER retrograde transport"
"YDL019C","Metabolism"
"YDL019C","Synthesis of bile acids and bile salts"
"YDL019C","Bile acid and bile salt metabolism"
"YDL019C","Metabolism of lipids"
"YDL019C","Metabolism of steroids"
"YDL022W","Metabolism"
"YDL022W","Synthesis of PA"
"YDL022W","Glycerophospholipid biosynthesis"
"YDL022W","Phospholipid metabolism"
"YDL022W","Metabolism of lipids"
"YDL029W","Signal Transduction"
"YDL029W","Innate Immune System"
"YDL029W","Immune System"
"YDL029W","Signaling by Rho GTPases"
"YDL029W","RHO GTPase Effectors"
"YDL029W","Membrane Trafficking"
"YDL029W","Fcgamma receptor (FCGR) dependent phagocytosis"
"YDL029W","Regulation of actin dynamics for phagocytic cup formation"
"YDL029W","Vesicle-mediated transport"
"YDL029W","RHO GTPases Activate WASPs and WAVEs"
"YDL029W","Neutrophil degranulation"
"YDL029W","Clathrin-mediated endocytosis"
"YDL042C","Cellular responses to stress"
"YDL042C","Regulation of HSF1-mediated heat shock response"
"YDL042C","Cellular response to heat stress"
"YDL042C","Cellular responses to external stimuli"
"YDL045C","Metabolism"
"YDL045C","Vitamin B2 (riboflavin) metabolism"
"YDL045C","Metabolism of water-soluble vitamins and cofactors"
"YDL045C","Metabolism of vitamins and cofactors"
"YDL047W","ER to Golgi Anterograde Transport"
"YDL047W","Membrane Trafficking"
"YDL047W","COPII-mediated vesicle transport"
"YDL047W","Metabolism of proteins"
"YDL047W","Asparagine N-linked glycosylation"
"YDL047W","Vesicle-mediated transport"
"YDL047W","Post-translational protein modification"
"YDL047W","Transport to the Golgi and subsequent modification"
"YDL052C","Metabolism"
"YDL052C","Synthesis of PA"
"YDL052C","Glycerophospholipid biosynthesis"
"YDL052C","Phospholipid metabolism"
"YDL052C","Integration of energy metabolism"
"YDL052C","ChREBP activates metabolic gene expression"
"YDL052C","Innate Immune System"
"YDL052C","Immune System"
"YDL052C","Metabolism of lipids"
"YDL052C","Neutrophil degranulation"
"YDL058W","ER to Golgi Anterograde Transport"
"YDL058W","Membrane Trafficking"
"YDL058W","COPII-mediated vesicle transport"
"YDL058W","Metabolism of proteins"
"YDL058W","Asparagine N-linked glycosylation"
"YDL058W","Vesicle-mediated transport"
"YDL058W","Post-translational protein modification"
"YDL058W","COPI-mediated anterograde transport"
"YDL058W","Transport to the Golgi and subsequent modification"
"YDL061C","L13a-mediated translational silencing of Ceruloplasmin expression"
"YDL061C","SRP-dependent cotranslational protein targeting to membrane"
"YDL061C","Metabolism of proteins"
"YDL061C","Eukaryotic Translation Initiation"
"YDL061C","Formation of a pool of free 40S subunits"
"YDL061C","Formation of the ternary complex, and subsequently, the 43S complex"
"YDL061C","Ribosomal scanning and start codon recognition"
"YDL061C","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YDL061C","Cap-dependent Translation Initiation"
"YDL061C","Translation"
"YDL061C","Metabolism of RNA"
"YDL061C","Nonsense-Mediated Decay (NMD)"
"YDL061C","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"YDL061C","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YDL064W","SUMOylation"
"YDL064W","SUMO is transferred from E1 to E2 (UBE2I, UBC9)"
"YDL064W","SUMOylation of DNA damage response and repair proteins"
"YDL064W","SUMO E3 ligases SUMOylate target proteins"
"YDL064W","Processing and activation of SUMO"
"YDL064W","SUMOylation of transcription factors"
"YDL064W","SUMOylation of transcription cofactors"
"YDL064W","Metabolism of proteins"
"YDL064W","SUMOylation of SUMOylation proteins"
"YDL064W","SUMOylation of chromatin organization proteins"
"YDL064W","SUMOylation of RNA binding proteins"
"YDL064W","SUMOylation of DNA replication proteins"
"YDL064W","Post-translational protein modification"
"YDL065C","ABC transporters in lipid homeostasis"
"YDL065C","Transport of small molecules"
"YDL065C","ABC-family proteins mediated transport"
"YDL065C","Class I peroxisomal membrane protein import"
"YDL065C","Protein localization"
"YDL066W","Metabolism"
"YDL066W","Innate Immune System"
"YDL066W","Immune System"
"YDL066W","Metabolism of vitamins and cofactors"
"YDL066W","NADPH regeneration"
"YDL066W","Neutrophil degranulation"
"YDL066W","Metabolism of cofactors"
"YDL066W","Peroxisomal protein import"
"YDL066W","Protein localization"
"YDL072C","Apoptosis"
"YDL072C","Programmed Cell Death"
"YDL072C","Apoptotic execution phase"
"YDL081C","L13a-mediated translational silencing of Ceruloplasmin expression"
"YDL081C","SRP-dependent cotranslational protein targeting to membrane"
"YDL081C","Metabolism of proteins"
"YDL081C","Eukaryotic Translation Initiation"
"YDL081C","Formation of a pool of free 40S subunits"
"YDL081C","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YDL081C","Cap-dependent Translation Initiation"
"YDL081C","Translation"
"YDL081C","Metabolism of RNA"
"YDL081C","Nonsense-Mediated Decay (NMD)"
"YDL081C","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"YDL081C","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YDL083C","L13a-mediated translational silencing of Ceruloplasmin expression"
"YDL083C","SRP-dependent cotranslational protein targeting to membrane"
"YDL083C","Metabolism of proteins"
"YDL083C","Eukaryotic Translation Initiation"
"YDL083C","Formation of a pool of free 40S subunits"
"YDL083C","Formation of the ternary complex, and subsequently, the 43S complex"
"YDL083C","Ribosomal scanning and start codon recognition"
"YDL083C","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YDL083C","Cap-dependent Translation Initiation"
"YDL083C","Translation"
"YDL083C","Metabolism of RNA"
"YDL083C","Nonsense-Mediated Decay (NMD)"
"YDL083C","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"YDL083C","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YDL091C","Innate Immune System"
"YDL091C","Immune System"
"YDL091C","Neutrophil degranulation"
"YDL092W","Innate Immune System"
"YDL092W","Immune System"
"YDL092W","SRP-dependent cotranslational protein targeting to membrane"
"YDL092W","Metabolism of proteins"
"YDL092W","Neutrophil degranulation"
"YDL092W","Translation"
"YDL097C","Antigen processing-Cross presentation"
"YDL097C","Cross-presentation of soluble exogenous antigens (endosomes)"
"YDL097C","Cytokine Signaling in Immune system"
"YDL097C","Adaptive Immune System"
"YDL097C","Innate Immune System"
"YDL097C","Immune System"
"YDL097C","Metabolism of proteins"
"YDL097C","TNFR2 non-canonical NF-kB pathway"
"YDL097C","Deubiquitination"
"YDL097C","UCH proteinases"
"YDL097C","Ub-specific processing proteases"
"YDL097C","Post-translational protein modification"
"YDL097C","Neutrophil degranulation"
"YDL097C","Class I MHC mediated antigen processing & presentation"
"YDL101C","Cell Cycle"
"YDL101C","DNA Double-Strand Break Repair"
"YDL101C","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks"
"YDL101C","DNA Double Strand Break Response"
"YDL101C","G2/M DNA damage checkpoint"
"YDL101C","G2/M Checkpoints"
"YDL101C","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"
"YDL101C","p53-Independent DNA Damage Response"
"YDL101C","p53-Independent G1/S DNA damage checkpoint"
"YDL101C","G1/S DNA Damage Checkpoints"
"YDL101C","Cell Cycle Checkpoints"
"YDL101C","DNA Repair"
"YDL101C","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"
"YDL102W","Cell Cycle"
"YDL102W","Removal of the Flap Intermediate"
"YDL102W","Processive synthesis on the lagging strand"
"YDL102W","Lagging Strand Synthesis"
"YDL102W","DNA strand elongation"
"YDL102W","Synthesis of DNA"
"YDL102W","S Phase"
"YDL102W","Cell Cycle, Mitotic"
"YDL102W","DNA Replication"
"YDL103C","Metabolism of proteins"
"YDL103C","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"
"YDL103C","Asparagine N-linked glycosylation"
"YDL103C","Synthesis of UDP-N-acetyl-glucosamine"
"YDL103C","Synthesis of substrates in N-glycan biosythesis"
"YDL103C","Post-translational protein modification"
"YDL105W","SUMOylation"
"YDL105W","SUMOylation of DNA damage response and repair proteins"
"YDL105W","SUMO E3 ligases SUMOylate target proteins"
"YDL105W","Metabolism of proteins"
"YDL105W","Post-translational protein modification"
"YDL108W","Formation of the Early Elongation Complex"
"YDL108W","Cell Cycle"
"YDL108W","Generic Transcription Pathway"
"YDL108W","Transcriptional Regulation by TP53"
"YDL108W","Mitotic G1-G1/S phases"
"YDL108W","Nucleotide Excision Repair"
"YDL108W","RNA Polymerase II Pre-transcription Events"
"YDL108W","Formation of TC-NER Pre-Incision Complex"
"YDL108W","Transcription-Coupled Nucleotide Excision Repair (TC-NER)"
"YDL108W","Dual incision in TC-NER"
"YDL108W","Gap-filling DNA repair synthesis and ligation in TC-NER"
"YDL108W","TP53 Regulates Transcription of DNA Repair Genes"
"YDL108W","RNA polymerase II transcribes snRNA genes"
"YDL108W","Cyclin E associated events during G1/S transition "
"YDL108W","G1/S Transition"
"YDL108W","S Phase"
"YDL108W","Cell Cycle, Mitotic"
"YDL108W","Cyclin A:Cdk2-associated events at S phase entry"
"YDL108W","mRNA Capping"
"YDL108W","RNA Polymerase I Promoter Escape"
"YDL108W","RNA Polymerase II Promoter Escape"
"YDL108W","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"
"YDL108W","RNA Polymerase I Promoter Clearance"
"YDL108W","RNA Polymerase II Transcription"
"YDL108W","RNA Polymerase I Transcription"
"YDL108W","DNA Repair"
"YDL108W","Gene expression (Transcription)"
"YDL108W","RNA Polymerase II Transcription Initiation"
"YDL108W","RNA Polymerase II Transcription Elongation"
"YDL108W","RNA Polymerase II Transcription Initiation And Promoter Clearance"
"YDL108W","RNA Pol II CTD phosphorylation and interaction with CE"
"YDL108W","Metabolism of RNA"
"YDL111C","Deadenylation-dependent mRNA decay"
"YDL111C","mRNA decay by 3' to 5' exoribonuclease"
"YDL111C","Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA"
"YDL111C","Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA"
"YDL111C","Regulation of mRNA stability by proteins that bind AU-rich elements"
"YDL111C","Major pathway of rRNA processing in the nucleolus and cytosol"
"YDL111C","rRNA processing"
"YDL111C","rRNA processing in the nucleus and cytosol"
"YDL111C","Metabolism of RNA"
"YDL114W","Metabolism"
"YDL114W","Signal Transduction"
"YDL114W","Estrogen biosynthesis"
"YDL114W","Metabolism of steroid hormones"
"YDL114W","The retinoid cycle in cones (daylight vision)"
"YDL114W","Visual phototransduction"
"YDL114W","Signaling by GPCR"
"YDL114W","GPCR downstream signalling"
"YDL114W","G alpha (i) signalling events"
"YDL114W","Signaling by Retinoic Acid"
"YDL114W","RA biosynthesis pathway"
"YDL114W","Metabolism of lipids"
"YDL114W","Metabolism of steroids"
"YDL114W","Lipid particle organization"
"YDL114W","Signaling by Nuclear Receptors"
"YDL120W","Mitochondrial protein import"
"YDL120W","Mitochondrial iron-sulfur cluster biogenesis"
"YDL120W","Metabolism"
"YDL120W","Protein localization"
"YDL126C","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template"
"YDL126C","Translesion Synthesis by POLH"
"YDL126C","Innate Immune System"
"YDL126C","Immune System"
"YDL126C","Cellular responses to stress"
"YDL126C","HSF1 activation"
"YDL126C","Cellular response to heat stress"
"YDL126C","Metabolism of proteins"
"YDL126C","Deubiquitination"
"YDL126C","Ovarian tumor domain proteases"
"YDL126C","Post-translational protein modification"
"YDL126C","Neutrophil degranulation"
"YDL126C","DNA Damage Bypass"
"YDL126C","DNA Repair"
"YDL126C","Cellular responses to external stimuli"
"YDL130W","L13a-mediated translational silencing of Ceruloplasmin expression"
"YDL130W","SRP-dependent cotranslational protein targeting to membrane"
"YDL130W","Metabolism of proteins"
"YDL130W","Eukaryotic Translation Initiation"
"YDL130W","Formation of a pool of free 40S subunits"
"YDL130W","GTP hydrolysis and joining of the 60S ribosomal subunit"
"YDL130W","Cap-dependent Translation Initiation"
"YDL130W","Translation"
"YDL130W","Metabolism of RNA"
"YDL130W","Nonsense-Mediated Decay (NMD)"
"YDL130W","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"YDL130W","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"YDL132W","Adaptive Immune System"
"YDL132W","Cell Cycle"
"YDL132W","Immune System"
"YDL132W","Transport of small molecules"
"YDL132W","Metabolism of proteins"
"YDL132W","Mitotic G2-G2/M phases"
"YDL132W","Post-translational protein modification"
"YDL132W","G2/M Transition"
"YDL132W","Cell Cycle, Mitotic"
"YDL132W","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis"
"YDL132W","Neddylation"
"YDL132W","Iron uptake and transport"
"YDL132W","Antigen processing: Ubiquitination & Proteasome degradation"
"YDL132W","Class I MHC mediated antigen processing & presentation"
"YDL134C","PIP3 activates AKT signaling"
"YDL134C","Cytokine Signaling in Immune system"
"YDL134C","Adaptive Immune System"
"YDL134C","Signal Transduction"
"YDL134C","Cell Cycle"
"YDL134C","Toll Like Receptor 4 (TLR4) Cascade"
"YDL134C","MyD88:MAL(TIRAP) cascade initiated on plasma membrane"
"YDL134C","MyD88-independent TLR4 cascade "
"YDL134C","Signaling by NTRKs"
"YDL134C","Toll Like Receptor 9 (TLR9) Cascade"
"YDL134C","Toll Like Receptor 10 (TLR10) Cascade"
"YDL134C","Toll Like Receptor 3 (TLR3) Cascade"
"YDL134C","Toll Like Receptor 5 (TLR5) Cascade"
"YDL134C","Toll Like Receptor TLR1:TLR2 Cascade"
"YDL134C","Toll Like Receptor 7/8 (TLR7/8) Cascade"
"YDL134C","Toll Like Receptor TLR6:TLR2 Cascade"
"YDL134C","Innate Immune System"
"YDL134C","Immune System"
"YDL134C","Toll-like Receptor Cascades"
"YDL134C","Toll Like Receptor 2 (TLR2) Cascade"
